"NormalisedOccupation","Occupation"
"Accountant","accountant"
"Accountant","accountant (retired)"
"Accountant","accountant and broker"
"Accountant","accountant and business management"
"Accountant","accountant and realtor"
"Accountant","accountant auditor"
"Accountant","accountant manager"
"Accountant","accountant, auditor"
"Accountant","accountant, CGA"
"Accountant","accountant, consultant"
"Accountant","accountant, manager"
"Accountant","accountant/business consultant"
"Accountant","accounting administrator"
"Accountant","accounting clerk"
"Accountant","accounting consultant"
"Accountant","actuary"
"Accountant","adjuster"
"Accountant","annuitant"
"Accountant","assessor"
"Accountant","assistant underwriter"
"Accountant","auditor"
"Accountant","book keeper"
"Accountant","bookkeeper"
"Accountant","bookkeeper, accountant"
"Accountant","certified financial planner"
"Accountant","certified general accountant"
"Accountant","certified management accountant"
"Accountant","chartered accountant"
"Accountant","general licenced accountant"
"Accountant","manager, accountant"
"Accountant","professional accountant"
"Accountant","public accountant"
"Accountant","reinsurance group underwriter"
"Accountant","retired accountant"
"Accountant","retired bookkeeper"
"Accountant","risk management professional"
"Accountant","secretary, accountant"
"Accountant","secretary, bookkeeper"
"Accountant","tax accountant"
"Accountant","tax consultant"
"Accountant","tax expert"
"Accountant","valuator"
"Architect","arch. designer, draftsman, student"
"Architect","architect"
"Architect","architectural designer"
"Architect","architectural technician"
"Architect","architectural technologist"
"Architect","landscape architect"
"Architect","landscape design"
"Arts and Culture","acting supervisor"
"Arts and Culture","actor"
"Arts and Culture","actor - writer - film maker"
"Arts and Culture","actor, clown"
"Arts and Culture","actor, farmer"
"Arts and Culture","actor, voice-over announcer"
"Arts and Culture","actor, writer, teacher"
"Arts and Culture","actor/HMV clerk"
"Arts and Culture","aerial photographer"
"Arts and Culture","agent"
"Arts and Culture","animator, storyteller"
"Arts and Culture","announcer"
"Arts and Culture","announcer and ski school director"
"Arts and Culture","anthology"
"Arts and Culture","art director"
"Arts and Culture","artist"
"Arts and Culture","artist and produce clerk"
"Arts and Culture","artist, painter"
"Arts and Culture","artist, painter, sculptor"
"Arts and Culture","artist, poet"
"Arts and Culture","artist, teacher"
"Arts and Culture","artist/animator"
"Arts and Culture","artist/computer animator"
"Arts and Culture","artist/writer/editor"
"Arts and Culture","artistic director"
"Arts and Culture","artistic painter"
"Arts and Culture","artistic producer"
"Arts and Culture","athlete and writer"
"Arts and Culture","author"
"Arts and Culture","author & journalist"
"Arts and Culture","author, communications consultant"
"Arts and Culture","author, journalist"
"Arts and Culture","author, lawyer"
"Arts and Culture","author, naturalist"
"Arts and Culture","author, publisher"
"Arts and Culture","author, songwriter, singer"
"Arts and Culture","author/journalist"
"Arts and Culture","author/woodworker"
"Arts and Culture","broadcast animator (radio)"
"Arts and Culture","broadcast consultant"
"Arts and Culture","broadcast executive"
"Arts and Culture","broadcast journalist"
"Arts and Culture","broadcast officer"
"Arts and Culture","broadcaster"
"Arts and Culture","broadcaster, businessman"
"Arts and Culture","broadcaster, consultant"
"Arts and Culture","broadcaster, journalist"
"Arts and Culture","broadcaster, lawyer"
"Arts and Culture","broadcaster, lecturer"
"Arts and Culture","broadcaster, teacher"
"Arts and Culture","broadcasting consultant"
"Arts and Culture","chansonnier"
"Arts and Culture","choreographer"
"Arts and Culture","choreographer, dancer"
"Arts and Culture","circulation manager"
"Arts and Culture","clown"
"Arts and Culture","clown, magician"
"Arts and Culture","columnist"
"Arts and Culture","comedian"
"Arts and Culture","comedian, clown"
"Arts and Culture","comedian, producer"
"Arts and Culture","comedian, puppeteer"
"Arts and Culture","commentator"
"Arts and Culture","commercial artist"
"Arts and Culture","composer"
"Arts and Culture","conceiver"
"Arts and Culture","concert pianist"
"Arts and Culture","concert singer"
"Arts and Culture","copy editor"
"Arts and Culture","copywriter"
"Arts and Culture","cultural advisor"
"Arts and Culture","cultural freelance contractor"
"Arts and Culture","curator"
"Arts and Culture","day-worker and poet"
"Arts and Culture","development animation agent"
"Arts and Culture","E-news editor"
"Arts and Culture","editor"
"Arts and Culture","editor - publisher"
"Arts and Culture","editor and businessman"
"Arts and Culture","editor and publisher"
"Arts and Culture","editor-in-chief"
"Arts and Culture","editor, literary review of canada"
"Arts and Culture","editor, writer"
"Arts and Culture","editor/publisher"
"Arts and Culture","editorial supervisor"
"Arts and Culture","educational journalist"
"Arts and Culture","educational television producer"
"Arts and Culture","entertainer"
"Arts and Culture","entertainer, theme park developer"
"Arts and Culture","entertainment"
"Arts and Culture","ex-social animator"
"Arts and Culture","executive and writer"
